"Site"	"Year"	"T1"	"T2"	"T3"	"RAD1"	"RAD2"	"RAD3"	"B"
"1"	1	1995	13.4421568627451	19.8225490196078	22.2754901960784	18.5294117647059	21.4411764705882	20.1078431372549	2663.20163590824
"2"	2	1995	13.371568627451	19.9696078431373	23.05	17.9705882352941	21.8019607843137	20.4137254901961	2647.05692353884
"3"	3	1995	13.3	19.321568627451	21.3558823529412	20.0764705882353	22.4882352941176	20.4117647058824	2800.85642531268
"4"	4	1995	12.4735294117647	19.1088235294118	22.3725490196078	17.0588235294118	20.1901960784314	19.2647058823529	2556.53755426397
"5"	5	1995	11.3480392156863	16.9921568627451	20.6401960784314	15.1098039215686	18.8372549019608	18.521568627451	2698.30262790983
"6"	6	1995	12.7176470588235	19.4352941176471	22.3529411764706	16.8176470588235	20.8117647058824	19.6725490196078	2597.52146128709
"7"	7	1995	13.0460784313725	19.2382352941176	21.306862745098	19.9254901960784	22.7372549019608	20.4862745098039	2846.42613660175
"8"	8	1995	12.4735294117647	19.1088235294118	22.3725490196078	17.0588235294118	20.1901960784314	19.2647058823529	2556.53755426397
"9"	9	1995	11.7441176470588	18.443137254902	21.9656862745098	14.8117647058824	18.9941176470588	18.4352941176471	2453.55469344676
"10"	10	1995	13.7754901960784	19.6470588235294	21.7254901960784	19.5235294117647	21.6372549019608	19.5411764705882	2673.48607444992
"11"	11	1995	13.4421568627451	19.8225490196078	22.2754901960784	18.5294117647059	21.4411764705882	20.1078431372549	2663.20163590824
"12"	12	1995	14.7980392156863	20.6245098039216	22.643137254902	19.0960784313726	22.8941176470588	20.1509803921569	2726.06017563969
"13"	13	1995	14.3196078431373	20.5490196078431	22.9872549019608	19.4647058823529	23.2372549019608	20.8960784313725	2778.82025905533
"14"	14	1995	12.0117647058824	18.3754901960784	20.8176470588235	18.5294117647059	21.4411764705882	20.1078431372549	2765.50974612453
"15"	15	1995	14.3127450980392	20.0735294117647	22.6656862745098	19.4647058823529	23.2372549019608	20.8960784313725	2884.17778704875
"16"	16	1995	13.371568627451	19.9696078431373	23.05	17.9705882352941	21.8019607843137	20.4137254901961	2647.05692353884
"17"	17	1995	11.7990196078431	18.1950980392157	21.5039215686275	16.0666666666667	19.6549019607843	18.9372549019608	2541.41325114159
